order,year_label,plot_year,milestone,phase,evidence_strength
1,1983-93,1988,IMF / World Bank structural adjustment programs,Discipline,Strong
2,1996,1996,EU-Morocco Association Agreement signed (in force 2000),Discipline,Strong
3,2004,2004,Tanger Med port complex groundbreaking,Construction,Strong
4,2006,2006,US-Morocco Free Trade Agreement,Construction,Strong
5,2008,2008,EU "Advanced Status" granted,Construction,Strong
6,2009,2009,National Pact for Industrial Emergence (PNEI),Construction,Strong
7,2012,2012,Renault Tangier plant: first vehicle,Construction,Strong
8,2016-18,2016,Noor Ouarzazate solar complex commissioned,Construction,Strong
9,2017,2017,Return to the African Union,Construction,Strong
10,2018,2018,TGV Al Boraq high-speed rail line,Construction,Strong
11,2021,2021,New Development Model (NMD) published,Certification,Strong
12,Sep 2025,2025,S&P upgrade to Investment Grade BBB-,Certification,Strong
13,Mar 2026,2026,S&P affirmation BBB-, outlook stable,Certification,Strong
